loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,annual_inc,issue_d,loan_status,monthly_income,emp_industry,age
7100, 36 months,6.11,216.35,A,A1,Nanny ,3 years,45000,Sep-18,FALSE,3750,other,29
35000, 60 months,20.39,934.9,D,D4,RN,10+ years,140000,Jun-18,TRUE,11666.666666666666,other,39
15400, 60 months,21.85,424.02,D,D5,Manager,8 years,60000,Jun-18,TRUE,5000,other,52
13500, 36 months,10.41,438.22,B,B3,IT Leadership Development Program,6 years,72000,Feb-18,FALSE,6000,other,49
10000, 36 months,10.47,324.89,B,B2,Lead maintenance ,6 years,50000,Sep-18,FALSE,4166.666666666667,other,32
3000, 36 months,13.58,101.93,C,C2,Server,< 1 year,20000,May-18,TRUE,1666.6666666666667,other,19
30000, 60 months,7.34,598.87,A,A4,Teacher,10+ years,115000,Apr-18,FALSE,9583.333333333334,other,35
19000, 60 months,20.39,507.52,D,D4,Caregiver,10+ years,24960,Feb-18,FALSE,2080,other,21
26000, 60 months,8.19,529.56,A,A4,Software Engineer,7 years,98000,Dec-18,FALSE,8166.666666666667,other,55
6000, 36 months,10.91,196.18,B,B4,Legal technician ,10+ years,49502,Feb-18,TRUE,4125.166666666667,other,32
25000, 60 months,16.01,608.09,C,C5,Lending Assitant ,< 1 year,70000,Apr-18,FALSE,5833.333333333333,other,48
15000, 60 months,17.97,380.66,D,D1,other,,123463,Sep-18,FALSE,10288.583333333334,other,33
20000, 60 months,28.72,631.44,F,F1,Insurance & Claims Manager,10+ years,97000,Aug-18,FALSE,8083.333333333333,other,57
15000, 36 months,18.45,545.68,D,D2,Bullrigger ,3 years,72000,Jun-18,TRUE,6000,other,42
3000, 36 months,15.04,104.06,C,C4,Attorney,3 years,180000,Mar-18,FALSE,15000,other,34
5000, 36 months,12.61,167.54,C,C1,Patient Care Technician ,10+ years,45000,Feb-18,TRUE,3750,other,29
33000, 60 months,13.59,760.86,C,C2,SALES MANAGER,10+ years,139832,Feb-18,FALSE,11652.666666666666,other,50
25000, 36 months,15.05,867.25,C,C4,other,,54000,Feb-18,TRUE,4500,other,35
5400, 36 months,16.02,189.91,C,C5,Pharmacy ,3 years,135000,Jan-18,TRUE,11250,other,50
10000, 36 months,6.83,308,A,A3,Elementary Teacher,5 years,61000,Jun-18,FALSE,5083.333333333333,other,48
10000, 36 months,8.19,314.25,A,A4,other,< 1 year,65000,Nov-18,FALSE,5416.666666666667,other,41
16000, 36 months,16.02,562.68,C,C5,Financial Aid Director,1 year,57200,Jan-18,TRUE,4766.666666666667,other,40
25000, 36 months,6.08,761.46,A,A2,Project Manager,10+ years,75000,Jan-18,TRUE,6250,other,57
20800, 60 months,18.45,533.29,D,D2,Recruier,10+ years,74500,Jun-18,TRUE,6208.333333333333,other,42
10000, 60 months,26.31,301.25,E,E4,Customer Service,10+ years,44000,Jul-18,FALSE,3666.6666666666665,other,27
8000, 36 months,15.04,277.48,C,C4,Production/Shipper/Social Media,< 1 year,32000,Mar-18,TRUE,2666.6666666666665,other,27
3000, 36 months,11.99,99.63,B,B5,Cal Tech,6 years,56000,Jan-18,FALSE,4666.666666666667,other,47
8000, 36 months,18.06,289.47,D,D2,Dance Teacher & Choreographer,3 years,70000,Jan-18,TRUE,5833.333333333333,other,50
11200, 36 months,18.06,405.25,D,D2,Refrigeration tech ,3 years,70000,Jan-18,FALSE,5833.333333333333,other,54
14000, 60 months,28.72,442.01,F,F1,other,,21000,Jun-18,TRUE,1750,other,20
25000, 36 months,6.72,768.74,A,A3,National Director of Operations,< 1 year,150000,Feb-18,FALSE,12500,other,53
4000, 36 months,18.06,144.74,D,D2,Mechanic,10+ years,40000,Feb-18,FALSE,3333.3333333333335,other,25
12000, 60 months,22.35,333.82,D,D5,Design Check Engineer,10+ years,140000,Nov-18,FALSE,11666.666666666666,other,59
8000, 36 months,8.19,251.4,A,A4,Senior service technician ,6 years,48000,Dec-18,FALSE,4000,other,29
34500, 60 months,15.02,821.12,C,C3,Sr Financial Analyst,< 1 year,200000,Aug-18,FALSE,16666.666666666668,other,36
7500, 36 months,8.19,235.69,A,A4,Destination Wedding Specialist,6 years,42000,Nov-18,FALSE,3500,other,26
7800, 36 months,5.32,234.9,A,A1,Assistant Property Manager,2 years,50000,Jan-18,FALSE,4166.666666666667,other,33
20000, 36 months,12.62,670.23,C,C1,Assistant Principal,10+ years,80000,Jan-18,FALSE,6666.666666666667,other,47
4800, 36 months,16.46,169.85,C,C5,other,,9600,Jun-18,TRUE,800,other,18
18000, 36 months,10.41,584.29,B,B3,Owner ,10+ years,56000,Mar-18,TRUE,4666.666666666667,other,36
15000, 36 months,13.06,505.85,C,C1,Warehouse worker,2 years,45000,May-18,TRUE,3750,other,28
20000, 60 months,21.85,550.68,D,D5,manager,< 1 year,70000,May-18,TRUE,5833.333333333333,other,51
24000, 60 months,25.81,715.88,E,E4,Executive Director,3 years,135558,Apr-18,TRUE,11296.5,other,53
40000, 36 months,10.07,1292.01,B,B2,Field Agent,8 years,164000,May-18,FALSE,13666.666666666666,other,39
25125, 36 months,11.99,834.39,B,B5,Stylist,10+ years,40000,Jan-18,TRUE,3333.3333333333335,other,27
6000, 36 months,13.06,202.34,C,C1,other,,40000,May-18,FALSE,3333.3333333333335,other,26
20000, 60 months,18.45,512.78,D,D2,Loan Officer,2 years,100000,Feb-18,TRUE,8333.333333333334,other,38
10000, 36 months,23.4,389.19,E,E1,other,,40000,Aug-18,TRUE,3333.3333333333335,other,27
22825, 36 months,15.02,791.46,C,C3,Associate Partner,10+ years,190000,Jul-18,FALSE,15833.333333333334,other,53
8000, 36 months,6.71,245.96,A,A3,Carpenter,6 years,50000,Apr-18,FALSE,4166.666666666667,other,34
10000, 36 months,15.02,346.76,C,C3,Sales Manager,3 years,60000,Jul-18,FALSE,5000,other,58
15000, 60 months,13.56,345.62,C,C1,other,,90000,Nov-18,FALSE,7500,other,43
15000, 60 months,18.45,384.59,D,D2,Building Maintenance Technician,1 year,52000,May-18,TRUE,4333.333333333333,other,33
10000, 60 months,13.59,230.57,C,C2,inventory anaylst,10+ years,71000,Jan-18,TRUE,5916.666666666667,other,58
16000, 36 months,20,594.62,D,D4,Showroom Coordinator ,2 years,55000,Jan-18,TRUE,4583.333333333333,other,53
15000, 60 months,18.45,384.59,D,D2,other,,52500,Mar-18,TRUE,4375,other,31
11500, 36 months,6.11,350.43,A,A1,Police Officer,10+ years,100000,Sep-18,FALSE,8333.333333333334,other,56
11000, 36 months,18.94,402.89,D,D2,other,,119177.6,Aug-18,TRUE,9931.466666666667,other,52
6400, 36 months,6.83,197.12,A,A3,Executive Associate Pastor,5 years,63000,May-18,FALSE,5250,other,54
10000, 60 months,8.46,204.98,A,A5,Collections,10+ years,41000,Sep-18,TRUE,3416.6666666666665,other,27
5000, 36 months,20.89,188.1,D,D4,Outside Sales,2 years,60000,Aug-18,TRUE,5000,other,48
6500, 36 months,12.61,217.8,C,C1,Registered Nurse,1 year,50000,Apr-18,FALSE,4166.666666666667,other,33
9500, 36 months,7.96,297.53,A,A5,Purchasing ,10+ years,48000,Apr-18,FALSE,4000,other,29
21000, 36 months,13.59,713.56,C,C2,"Owner, Accountant",10+ years,125000,Feb-18,TRUE,10416.666666666666,other,60
30000, 36 months,7.46,932.64,A,A4,other,,85000,Jun-18,FALSE,7083.333333333333,other,58
1800, 36 months,23.88,70.51,E,E2,Sales associate ,5 years,25000,Jan-18,TRUE,2083.3333333333335,other,21
12000, 60 months,10.56,258.29,B,B3,spotter,6 years,40000,May-18,FALSE,3333.3333333333335,other,27
10700, 60 months,17.47,268.64,D,D1,Nursing Assistant,10+ years,25000,Jun-18,FALSE,2083.3333333333335,other,22
35000, 36 months,11.99,1162.34,B,B5,driver,4 years,108000,Jan-18,TRUE,9000,other,53
11700, 36 months,10.91,382.55,B,B4,other,,60000,Jan-18,TRUE,5000,other,41
6000, 36 months,14.07,205.27,C,C3,Scrum Master,2 years,141000,Mar-18,TRUE,11750,other,47
22500, 36 months,6.11,685.62,A,A1,Software Engineer,10+ years,220000,Nov-18,FALSE,18333.333333333332,other,62
2000, 36 months,12.73,67.13,B,B5,teacher,10+ years,100000,Jul-18,FALSE,8333.333333333334,other,49
13500, 60 months,12.61,304.48,C,C1,CFO,7 years,111000,Mar-18,FALSE,9250,other,58
40000, 60 months,9.93,848.51,B,B2,Account Manager,3 years,106476,Jan-18,TRUE,8873,other,47
10000, 60 months,13.06,227.84,C,C1,Corporate Trainer /HECM SPECIALIST ,10+ years,130000,May-18,TRUE,10833.333333333334,other,55
20875, 60 months,25.81,622.67,E,E4,Head Estimator,5 years,105000,Jun-18,TRUE,8750,other,49
30000, 36 months,16.91,1068.24,C,C5,Store Manager,5 years,52000,Aug-18,FALSE,4333.333333333333,other,33
12000, 60 months,24.84,351.1,E,E3,Legal Assistant,10+ years,60000,Jul-18,TRUE,5000,other,47
30000, 60 months,29.69,964.9,F,F2,Nurse Practitioner ,2 years,124800,Jun-18,TRUE,10400,other,41
5000, 36 months,13.56,169.83,C,C1,other,,114000,Aug-18,FALSE,9500,other,59
3500, 36 months,11.55,115.5,B,B4,Compliance Officer,5 years,66208,Jul-18,FALSE,5517.333333333333,other,56
2000, 36 months,26.31,80.92,E,E4,Nurse,< 1 year,67000,Nov-18,FALSE,5583.333333333333,other,37
12000, 36 months,8.08,376.48,A,A5,Check out ,3 years,40000,Jun-18,FALSE,3333.3333333333335,other,26
22000, 60 months,19.92,581.89,D,D3,Sr. Analyst,10+ years,85000,Jul-18,FALSE,7083.333333333333,other,57
28000, 36 months,14.07,957.93,C,C3,Driver,3 years,66866,May-18,TRUE,5572.166666666667,other,58
16000, 60 months,10.9,347.09,B,B4,Patient Services Manager,6 years,52000,May-18,TRUE,4333.333333333333,other,36
8000, 36 months,9.58,256.57,B,B1,other,,50000,Jun-18,TRUE,4166.666666666667,other,34
20000, 36 months,11.31,657.72,B,B3,Attorney/Partner,9 years,250000,Dec-18,FALSE,20833.333333333332,other,40
28000, 60 months,17.47,702.97,D,D1,Counter representative III,10+ years,62000,Apr-18,TRUE,5166.666666666667,other,37
20000, 36 months,14.08,684.33,C,C3,Driver,3 years,41878.57,Jan-18,TRUE,3489.880833333333,other,25
3600, 36 months,9.58,115.46,B,B1,Therapist,4 years,50000,Jun-18,FALSE,4166.666666666667,other,33
8000, 36 months,11.55,264,B,B4,Facilities Director,10+ years,42000,Oct-18,FALSE,3500,other,27
1500, 36 months,20,55.75,D,D4,Assistant Nurse Manager,10+ years,100000,Jan-18,FALSE,8333.333333333334,other,53
8000, 36 months,10.91,261.57,B,B4,other,,44136,Jan-18,TRUE,3678,other,27
30000, 60 months,18.45,769.17,D,D2,Senior frontline specialist,8 years,45600,Jun-18,FALSE,3800,other,27
16000, 36 months,19.03,586.74,D,D3,Translator,< 1 year,45000,Feb-18,TRUE,3750,other,29
4100, 36 months,23.4,159.57,E,E1,office manager,8 years,38000,Dec-18,FALSE,3166.6666666666665,other,24
30000, 60 months,27.27,920.91,E,E5,Train operator ,10+ years,95000,Jul-18,TRUE,7916.666666666667,other,36
9075, 36 months,21.85,345.88,D,D5,Bailiff,3 years,77000,Jul-18,FALSE,6416.666666666667,other,46
10500, 36 months,20,390.22,D,D4,Retail manager,10+ years,28598,Jan-18,FALSE,2383.1666666666665,other,22
15000, 36 months,15.05,520.35,C,C4,Child support specialist II,6 years,70000,Feb-18,FALSE,5833.333333333333,other,40
8725, 36 months,21.85,332.54,D,D5,other,,12204,Apr-18,TRUE,1017,other,19
4000, 36 months,10.91,130.79,B,B4,Assoc. Broker,8 years,75000,Feb-18,TRUE,6250,other,50
15000, 60 months,12.61,338.31,C,C1,Mechanic,10+ years,25000,May-18,TRUE,2083.3333333333335,other,21
6025, 36 months,11.98,200.06,B,B5,Order Processor,5 years,86000,Apr-18,FALSE,7166.666666666667,other,38
35000, 36 months,27.27,1433.96,E,E5,other,,20000,Aug-18,TRUE,1666.6666666666667,other,20
12000, 60 months,9.93,254.56,B,B2,Service Man,1 year,30000,Jan-18,TRUE,2500,other,24
18650, 60 months,26.3,561.71,E,E5,BUTLER/HOUSEMAN,3 years,85000,Jan-18,TRUE,7083.333333333333,other,44
6000, 36 months,11.31,197.32,B,B3,other,,25000,Dec-18,FALSE,2083.3333333333335,other,23
10000, 36 months,16.91,356.08,C,C5,Forklift driver,5 years,41000,Aug-18,FALSE,3416.6666666666665,other,26
8500, 36 months,7.96,266.21,A,A5,Certified Pharmacy Techician,1 year,60000,May-18,FALSE,5000,other,46
2200, 36 months,14.08,75.28,C,C3,Instructional Assistant,3 years,20000,Jan-18,TRUE,1666.6666666666667,other,20
15000, 60 months,10.9,325.39,B,B4,RN Case Manager,10+ years,84000,Apr-18,FALSE,7000,other,38
20000, 60 months,18.45,512.78,D,D2,HR Specialist,10+ years,91393.54,Apr-18,TRUE,7616.128333333333,other,51
15000, 60 months,18.45,384.59,D,D2,Lead Esthetician ,1 year,98000,Apr-18,TRUE,8166.666666666667,other,47
35000, 60 months,12.62,789.57,C,C1,journeyman ,< 1 year,95000,Jan-18,TRUE,7916.666666666667,other,56
30000, 36 months,15.04,1040.55,C,C4,Press Operator,1 year,120000,Apr-18,FALSE,10000,other,43
15000, 36 months,11.05,491.44,B,B4,Officer,10+ years,157000,May-18,FALSE,13083.333333333334,other,48
2000, 36 months,7.84,62.53,A,A4,other,< 1 year,20000,Oct-18,FALSE,1666.6666666666667,other,19
11000, 60 months,7.35,219.64,A,A4,other,,62000,Feb-18,TRUE,5166.666666666667,other,52
10000, 60 months,15.04,238.11,C,C4,other,,32400,Apr-18,TRUE,2700,other,24
10000, 60 months,20.39,267.12,D,D4,other,,40092,May-18,TRUE,3341,other,26
40000, 36 months,8.46,1261.97,A,A5,adminstrative supervisor,4 years,110000,Oct-18,FALSE,9166.666666666666,other,51
10000, 36 months,5.31,301.11,A,A1,Fiber optic splicer ,10+ years,120000,May-18,FALSE,10000,other,43
14400, 36 months,13.58,489.23,C,C2,Csr,2 years,35000,Mar-18,TRUE,2916.6666666666665,other,23
22000, 36 months,10.47,714.75,B,B2,other,,0,Sep-18,FALSE,0,other,19
25000, 60 months,15.02,595.02,C,C3,Associate Professor,10+ years,125000,Sep-18,FALSE,10416.666666666666,other,61
12000, 60 months,15.02,285.61,C,C3,other,,27420,Aug-18,FALSE,2285,other,21
3025, 36 months,18.94,110.8,D,D2,Implementation Engineer,1 year,75000,Sep-18,TRUE,6250,other,61
15000, 36 months,24.37,591.42,E,E2,Maintenace,7 years,42000,Aug-18,TRUE,3500,other,26
20000, 36 months,10.42,649.3,B,B3,Web Specialist,7 years,100000,Jan-18,TRUE,8333.333333333334,other,59
7000, 36 months,7.96,219.23,A,A5,Residential Coordinator,10+ years,75000,Mar-18,FALSE,6250,other,45
35000, 60 months,12.62,789.57,C,C1,other,,80000,Feb-18,FALSE,6666.666666666667,other,52
4400, 36 months,6.07,134,A,A2,Solutions Architect,10+ years,245000,Apr-18,FALSE,20416.666666666668,other,43
4000, 36 months,17.47,143.55,D,D1,Project Manager,10+ years,55000,Jun-18,TRUE,4583.333333333333,other,43
10000, 36 months,13.58,339.74,C,C2,other,,30000,Mar-18,TRUE,2500,other,24
6000, 36 months,20.39,224.18,D,D4,Paralegal ,10+ years,45000,Mar-18,TRUE,3750,other,27
25000, 60 months,20,662.35,D,D4,Electrician,6 years,98000,Jan-18,TRUE,8166.666666666667,other,52
11000, 36 months,12.73,369.21,B,B5,Operator,3 years,38000,Sep-18,FALSE,3166.6666666666665,other,25
10000, 60 months,22.9,281.34,E,E1,Sales Service Rep,1 year,35000,May-18,TRUE,2916.6666666666665,other,23
25000, 60 months,26.77,759.96,E,E5,Owner,10+ years,96000,May-18,TRUE,8000,other,54
17000, 60 months,16.91,421.68,C,C5,Payroll,< 1 year,151000,Dec-18,FALSE,12583.333333333334,other,40
30000, 60 months,13.06,683.52,C,C1,Teacher,7 years,60000,May-18,FALSE,5000,other,52
18000, 60 months,16.01,437.83,C,C5,Operator,10+ years,120000,Mar-18,TRUE,10000,other,43
2200, 36 months,17.97,79.51,D,D1,Registered Nurse,< 1 year,153000,Dec-18,FALSE,12750,other,36
20000, 60 months,5.31,380.28,A,A1,Loan Officer,3 years,100000,Apr-18,FALSE,8333.333333333334,other,45
15000, 60 months,28.72,473.58,F,F1,Finance,10+ years,150000,Jul-18,TRUE,12500,other,44
4500, 36 months,9.58,144.32,B,B1,other,,18600,May-18,FALSE,1550,other,18
40000, 60 months,13.58,922.05,C,C2,ED Nurse Case Manager,6 years,117432,May-18,TRUE,9786,other,52
30000, 36 months,18.45,1091.36,D,D2,Manager,7 years,113042,Apr-18,TRUE,9420.166666666666,other,54
30250, 36 months,17.47,1085.59,D,D1,Registered Nurse Case Manager,10+ years,98000,May-18,TRUE,8166.666666666667,other,49
40000, 60 months,12.73,904.61,B,B5,IT Consultant,10+ years,102000,Jul-18,FALSE,8500,other,57
40000, 36 months,8.46,1261.97,A,A5,Medical Assistant ,6 years,37000,Jul-18,FALSE,3083.3333333333335,other,22
25000, 36 months,16.91,890.2,C,C5,Fleet Service Clerk,10+ years,100000,Jul-18,TRUE,8333.333333333334,other,52
10000, 36 months,14.07,342.12,C,C3,other,,42000,Mar-18,FALSE,3500,other,28
21000, 60 months,17.47,527.23,D,D1,Railroad Inspector,5 years,55000,May-18,TRUE,4583.333333333333,other,34
10000, 36 months,14.52,344.31,C,C3,General Manager,6 years,70000,May-18,TRUE,5833.333333333333,other,61
15000, 36 months,9.43,480.01,B,B1,PACS System Specialist,10+ years,82000,Apr-18,TRUE,6833.333333333333,other,60
35000, 36 months,16.02,1230.85,C,C5,Manager,< 1 year,144000,Feb-18,TRUE,12000,other,60
16000, 36 months,19.42,589.9,D,D3,Monitor Technician,9 years,50000,Mar-18,TRUE,4166.666666666667,other,34
40000, 60 months,13.59,922.25,C,C2,"Director, Operations",3 years,170000,Feb-18,FALSE,14166.666666666666,other,41
25000, 60 months,7.46,500.48,A,A4,Teacher,4 years,170000,May-18,FALSE,14166.666666666666,other,55
12000, 36 months,11.55,396,B,B4,Receptionist/ vet tech ,2 years,39761,Nov-18,FALSE,3313.4166666666665,other,25
10000, 36 months,20.89,376.19,D,D4,Insulator,< 1 year,36000,Jul-18,TRUE,3000,other,24
15600, 60 months,11.8,345.44,B,B4,Production control,5 years,54000,Dec-18,FALSE,4500,other,34
9600, 36 months,17.47,344.52,D,D1,other,,65000,May-18,FALSE,5416.666666666667,other,56
10000, 36 months,10.56,325.31,B,B3,Service Technician ,2 years,60000,May-18,TRUE,5000,other,40
16800, 60 months,13.56,387.09,C,C1,Admissions ,7 years,40560,Dec-18,FALSE,3380,other,26
28000, 60 months,14.07,652.53,C,C3,Operations manager,5 years,91850,May-18,TRUE,7654.166666666667,other,55
